movie_id,title,release_year,imdbId,tmdbId,imdb_rating,adult,budget,origin_country,vote_count,vote_average,origin_language,overview,tmdb_popularity_score,production_companies,production_companies_origin_country,runtime,revenue,spoken_languages,directors_info,popular,unique_producers,popular_producer
25,"Birdcage, The (1996)",1996,115685,11000,7.2,FALSE,31000000,US,1204,7.031,en,"Middle-aged gay life partners, Armand Goldman, a Jewish drag club owner, and Albert, the club's flamboyant star attraction, live in the eclectic community of South Beach and have raised a straight son. Now, their newly engaged son, 20-year-old Val, wants to bring his fiancée, Barbara, and her ultraconservative parents home to meet his family for the first time. By Val's request, Armand pretends to be straight, not Jewish and attempts to hide his relationship with Albert, in order to please Barbara's father, controversial right-wing Republican Sen. Kevin Keeley.",3.9326,"United Artists,Metro-Goldwyn-Mayer","US,US",119,185300000,English,"[['Mike Nichols', '0.7991', 'Male']]",1,"['United Artists', 'Metro-Goldwyn-Mayer']",1
26,"Brothers McMullen, The (1995)",1995,112585,16388,6.6,FALSE,0,US,91,6.049,en,"Deals with the lives of the three Irish Catholic McMullen brothers from Long Island, New York, over three months, as they grapple with basic ideas and values — love, sex, marriage, religion and family — in the 1990s. Directed, written, produced by and starring Edward Burns.",0.3,"Videography,Marlboro Road Gang Productions,Good Machine",",US,US",98,0,English,"[['Edward Burns', '1.5101', 'Male']]",0,"['Marlboro Road Gang Productions', 'Videography', 'Good Machine']",0
27,Bad Boys (1995),1995,112442,9737,6.8,FALSE,19000000,US,6562,6.82,en,"Marcus Burnett is a henpecked family man. Mike Lowrey is a footloose and fancy free ladies' man. Both Miami policemen, they have 72 hours to reclaim a consignment of drugs stolen from under their station's nose. To complicate matters, in order to get the assistance of the sole witness to a murder, they have to pretend to be each other.",10.7356,"Columbia Pictures,Don Simpson/Jerry Bruckheimer Films","US,US",119,141407024,English,"[['Michael Bay', '3.0184', 'Male']]",0,"['Don Simpson/Jerry Bruckheimer Films', 'Columbia Pictures']",1
28,Apollo 13 (1995),1995,112384,568,7.7,FALSE,52000000,US,5537,7.451,en,"The true story of technical troubles that scuttle the Apollo 13 lunar mission in 1970, risking the lives of astronaut Jim Lovell and his crew, with the failed journey turning into a thrilling saga of heroism. Drifting more than 200,000 miles from Earth, the astronauts work furiously with the ground crew to avert tragedy.",6.399,"Imagine Entertainment,Universal Pictures","US,US",140,355237933,English,"[['Ron Howard', '2.6461', 'Male']]",1,"['Universal Pictures', 'Imagine Entertainment']",1
29,Batman Forever (1995),1995,112462,414,5.4,FALSE,100000000,US,5286,5.437,en,"In the looming shadows of Gotham City, two villainous souls devise twin schemes of revenge against the city's dark guardian. Two-Face, disfigured by chance and fueled by vengeance, is obsessed with destroying Batman, while the Riddler, a disillusioned genius, pursues the destruction of billionaire Bruce Wayne. Together they've hatched a plot to absorb and control the minds of all of Gotham City's residents, and only Batman and his new partner, Robin, can stop them! But the Dark Knight is hindered by a mystery from his own childhood. He must hope that a new found love can help him overcome the incident that made him what he is. In the end, he must decide: will he be Batman—forever?",6.6059,"Warner Bros. Pictures,Tim Burton Productions,Polygram Pictures","US,US,US",121,336529144,English,"[['Joel Schumacher', '1.5523', 'Male']]",0,"['Warner Bros. Pictures', 'Polygram Pictures', 'Tim Burton Productions']",1
31,Crimson Tide (1995),1995,112740,8963,7.4,FALSE,53000000,US,1829,7.177,en,"After the Cold War, a breakaway Russian republic with nuclear warheads becomes a possible worldwide threat. U.S. submarine Capt. Frank Ramsey signs on a relatively green but highly recommended Lt. Cmdr. Ron Hunter to the USS Alabama, which may be the only ship able to stop a possible Armageddon. When Ramsey insists that the Alabama must act aggressively, Hunter, fearing they will start rather than stop a disaster, leads a potential mutiny to stop him.",4.1199,"Hollywood Pictures,Don Simpson/Jerry Bruckheimer Films","US,US",116,157387195,English,"[['Tony Scott', '1.774', 'Male']]",1,"['Hollywood Pictures', 'Don Simpson/Jerry Bruckheimer Films']",1
32,Crumb (1994),1994,109508,26564,8,FALSE,0,US,258,7.533,en,"This movie chronicles the life and times of R. Crumb. Robert Crumb is the cartoonist/artist who drew Keep On Truckin', Fritz the Cat, and played a major pioneering role in the genesis of underground comix. Through interviews with his mother, two brothers, wife, and ex-girlfriends, as well as selections from his vast quantity of graphic art, we are treated to a darkly comic ride through one man's subconscious mind.",0.6209,"Superior Pictures,Sony Pictures Classics",",US",120,3041083,English,"[['Terry Zwigoff', '0.2996', 'Male']]",0,"['Sony Pictures Classics', 'Superior Pictures']",0
33,Desperado (1995),1995,112851,8068,7.1,FALSE,7000000,US,2933,6.924,en,"El Mariachi plunges headfirst into the dark border underworld when he follows a trail of blood to the last of the infamous Mexican drug lords, Bucho, for an action-packed, bullet-riddled showdown. With the help of his friend and a beautiful bookstore owner, El Mariachi tracks Bucho, takes on his army of desperados, and leaves his own trail of blood.",5.5482,"Columbia Pictures,Los Hooligans Productions","US,US",104,25405445,English,"[['Robert Rodriguez', '2.2918', 'Male']]",0,"['Los Hooligans Productions', 'Columbia Pictures']",1
34,"Doom Generation, The (1995)",1995,112887,13552,6.2,FALSE,800000,US,265,6.466,en,"Jordan White and Amy Blue, two troubled teens, pick up an adolescent drifter, Xavier Red. Together, the threesome embarks on a sex- and violence-filled journey through a United States of psychos and quickie marts.",1.6889,"Blurco,The Teen Angst Movie Company,Desperate Pictures,Why Not Productions,UGC","US,,US,FR,FR",83,284785,English,"[['Gregg Araki', '0.545', 'Male']]",0,"['Desperate Pictures', 'Why Not Productions', 'Blurco', 'UGC', 'The Teen Angst Movie Company']",0
35,Free Willy 2: The Adventure Home (1995),1995,113114,9073,5.1,FALSE,31000000,US,591,5.927,en,Jesse becomes reunited with Willy three years after the whale's jump to freedom as the teenager tries to rescue the killer whale and other orcas from an oil spill.,2.305,"Alcor Films,Donner/Shuler-Donner Productions,Regency Enterprises,Warner Bros. Pictures,Canal+,Warner Bros. Family Entertainment","US,,US,US,FR,US",95,30000000,"Dansk,Bahasa melayu,Português,Italiano,Bahasa indonesia,English","[['Dwight H. Little', '0.491', 'Male']]",0,"['Warner Bros. Pictures', 'Donner/Shuler-Donner Productions', 'Regency Enterprises', 'Alcor Films', 'Canal+', 'Warner Bros. Family Entertainment']",1
36,Mad Love (1995),1995,113729,47608,5.4,FALSE,0,US,112,5.214,en,"Matt falls for Casey, the new girl in school. She's fun-loving and eccentric, but there's a darkness to her whimsy that Matt can't begin to comprehend. When Casey attempts to commit suicide, her parents place her in a mental institution. Matt springs her out, and together the young lovers head on a road trip. They believe their love can ""cure"" Casey's problems. Matt starts to wonder, though, if are they inspired or misguided.",1.4205,Touchstone Pictures,US,95,15453274,English,"[['Antonia Bird', '0.1685', 'Female']]",0,['Touchstone Pictures'],1
37,Nadja (1994),1994,110620,34574,6,FALSE,0,US,52,5.663,en,"In a contemporary New York City, members of a dysfunctional family of vampires are trying to come to terms with each other, in the wake of their father's death. Meanwhile, they are being hunted by Dr. Van Helsing and his hapless nephew. As in all good vampire movies, forces of love are pitted against forces of destruction.",1.8687,Kino Link Company,,93,0,"Deutsch,English","[['Michael Almereyda', '0.3028', 'Male']]",0,['Kino Link Company'],0
38,"Net, The (1995)",1995,113957,1642,6,FALSE,22000000,US,1399,6.024,en,"Angela Bennett is a freelance computer systems analyst who tracks down software viruses. At night she hooks up to the internet and chats to others 'surfing the net'. While de-bugging a new high-tech game for a cyber friend, she comes across a top secret program and becomes the target of a mysterious organization who will stop at nothing to erase her identity and her existence, in order to protect the project.",3.4047,Columbia Pictures,US,114,110627965,"English,Español","[['Irwin Winkler', '0.5916', 'Male']]",0,['Columbia Pictures'],1
39,Strange Days (1995),1995,114558,281,7.2,FALSE,42000000,US,1394,7.003,en,"Former policeman Lenny Nero has moved into a more lucrative trade: the illegal sale of virtual reality-like recordings that allow users to experience the emotions and past experiences of others. While they typically contain tawdry incidents, Nero is shocked when he receives one showing a murder.",2.6338,Lightstorm Entertainment,US,145,7959291,English,"[['Kathryn Bigelow', '1.1977', 'Female']]",0,['Lightstorm Entertainment'],0
40,"To Wong Foo, Thanks for Everything! Julie Newmar (1995)",1995,114682,9090,6.8,FALSE,0,US,688,7.4,en,"Manhattan drag queens Vida Boheme and Noxeema Jackson impress regional judges in competition, securing berths in the Nationals in Los Angeles. When the two meet pathetic drag novice Chi-Chi Rodriguez — one of the losers that evening — the charmed Vida and Noxeema agree to take the hopeless youngster under their joined wing. Soon the three set off on a madcap road trip across America and struggle to make it to Los Angeles in time.",2.7017,"Amblin Entertainment,Universal Pictures","US,US",109,47774193,"English,Español","[['Beeban Kidron', '0.5946', 'Female']]",0,"['Amblin Entertainment', 'Universal Pictures']",1
41,Billy Madison (1995),1995,112508,11017,6.4,FALSE,10000000,US,1679,6.186,en,"Billy Madison is the 27 year-old son of Bryan Madison, a very rich man who has made his living in the hotel industry. Billy stands to inherit his father's empire, but only if he can make it through all 12 grades, 2 weeks per grade, to prove that he has what it takes to run the family business.",3.2214,"Jack Giarraputo Productions,Universal Pictures,Robert Simonds Productions","US,US,US",90,26488734,"Français,Español,English","[['Tamra Davis', '0.6796', 'Female']]",0,"['Jack Giarraputo Productions', 'Robert Simonds Productions', 'Universal Pictures']",1
42,Clerks (1994),1994,109445,2292,7.7,FALSE,27575,US,2574,7.388,en,"Convenience and video store clerks Dante and Randal are sharp-witted, potty-mouthed and bored out of their minds. So in between needling customers, the counter jockeys play hockey on the roof, visit a funeral home and deal with their love lives.",2.8553,View Askew Productions,US,92,3151130,English,"[['Kevin Smith', '2.3568', 'Male']]",1,['View Askew Productions'],0
43,Disclosure (1994),1994,109635,8984,6.2,FALSE,55000000,US,1201,6.249,en,"A computer specialist is sued for sexual harassment by a former lover turned boss who initiated the act forcefully, which threatens both his career and his personal life.",3.0783,"Baltimore Pictures,Warner Bros. Pictures,Constant c Productions","US,US,US",128,214015089,English,"[['Barry Levinson', '1.1169', 'Male']]",0,"['Baltimore Pictures', 'Warner Bros. Pictures', 'Constant c Productions']",1
46,Exotica (1994),1994,109759,20156,7,FALSE,2000000,CA,356,6.612,en,"In the upscale Toronto strip club Exotica, dancer Christina is visited nightly by the obsessive Francis, a depressed tax auditor. Her ex-boyfriend, the club's MC, Eric, still jealously pines for her even as he introduces her onstage, but Eric is having his own relationship problems with the club's female owner. Thomas, a mysterious pet-shop owner, is about to become unexpectedly involved in their lives.",2.0406,"Ego Film Arts,Alliance Films","CA,CA",104,4221036,"English,עִבְרִית","[['Atom Egoyan', '0.5037', 'Male']]",0,"['Alliance Films', 'Ego Film Arts']",0
47,Ed Wood (1994),1994,109707,522,7.8,FALSE,18000000,US,2373,7.5,en,"The mostly true story of the legendary ""worst director of all time"", who, with the help of his strange friends, filmed countless B-movies without ever becoming famous or successful.",2.8593,Touchstone Pictures,US,127,5900000,English,"[['Tim Burton', '3.7131', 'Male']]",1,['Touchstone Pictures'],1
48,Hoop Dreams (1994),1994,110057,14275,8.3,FALSE,700000,US,307,7.603,en,"Every school day, African-American teenagers William Gates and Arthur Agee travel 90 minutes each way from inner-city Chicago to St. Joseph High School in Westchester, Illinois, a predominately white suburban school well-known for the excellence of its basketball program. Gates and Agee dream of NBA stardom, and with the support of their close-knit families, they battle the social and physical obstacles that stand in their way. This acclaimed documentary was shot over the course of five years.",0.8042,"Fine Line Features,Kartemquin Films","US,US",174,7830611,English,"[['Steve James', '0.2345', 'Male']]",1,"['Kartemquin Films', 'Fine Line Features']",1
49,I.Q. (1994),1994,110099,11777,6.2,FALSE,25000000,US,462,6.027,en,Albert Einstein helps a young man who's in love with Einstein's niece to catch her attention by pretending temporarily to be a great physicist.,1.4595,"Paramount Pictures,Sandollar Productions","US,US",100,26381221,"Deutsch,English","[['Fred Schepisi', '0.28', 'Male']]",0,"['Paramount Pictures', 'Sandollar Productions']",1
51,Legends of the Fall (1994),1994,110322,4476,7.5,FALSE,30000000,US,2659,7.395,en,"In early 20th-century Montana, Col. William Ludlow lives on a ranch in the wilderness with his sons, Alfred, Tristan, and Samuel. Eventually, the unconventional but close-knit family are bound by loyalty, tested by war, and torn apart by love, as told over the course of several decades in this epic saga.",5.9107,"Bedford Falls Productions,TriStar Pictures,Pangaea","US,US,",133,160638883,",English","[['Edward Zwick', '0.9107', 'Male']]",0,"['Pangaea', 'TriStar Pictures', 'Bedford Falls Productions']",1
52,"Madness of King George, The (1994)",1994,110428,11318,7.2,FALSE,0,"GB,US",241,6.8,en,"Aging King George III of England is exhibiting signs of madness, a problem little understood in 1788. As the monarch alternates between bouts of confusion and near-violent outbursts of temper, his hapless doctors attempt the ineffectual cures of the day. Meanwhile, Queen Charlotte and Prime Minister William Pitt the Younger attempt to prevent the king's political enemies, led by the Prince of Wales, from usurping the throne.",0.9178,"The Samuel Goldwyn Company,Close Call Films,Film4 Productions","US,,GB",107,15238994,English,"[['Nicholas Hytner', '0.4375', 'Male']]",0,"['Film4 Productions', 'Close Call Films', 'The Samuel Goldwyn Company']",1
53,Natural Born Killers (1994),1994,110632,241,7.2,FALSE,34000000,US,3508,7.063,en,Two victims of traumatized childhoods become lovers and serial murderers irresponsibly glorified by the mass media.,4.616,"J D Productions,Regency Enterprises,Alcor Films,Ixtlan,New Regency Pictures,Warner Bros. Pictures",",US,US,,US,US",118,50283563,"English,,日本語","[['Oliver Stone', '1.9976', 'Male']]",1,"['Ixtlan', 'Warner Bros. Pictures', 'Regency Enterprises', 'Alcor Films', 'New Regency Pictures', 'J D Productions']",1
54,Outbreak (1995),1995,114069,6950,6.6,FALSE,50000000,US,2322,6.567,en,"A deadly airborne virus finds its way into the USA and starts killing off people at an epidemic rate. Col. Sam Daniels' job is to stop the virus spreading from a small town, which must be quarantined, and to prevent an over reaction by the White House.",4.4217,"Kopelson Entertainment,Arnold Kopelson Productions,Punch Productions,Warner Bros. Pictures",",US,,US",127,189900000,"English,한국어/조선말,Français","[['Wolfgang Petersen', '1.5315', 'Male']]",0,"['Arnold Kopelson Productions', 'Warner Bros. Pictures', 'Kopelson Entertainment', 'Punch Productions']",1
56,Pulp Fiction (1994),1994,110912,680,8.9,FALSE,8000000,US,28685,8.489,en,"A burger-loving hit man, his philosophical partner, a drug-addled gangster's moll and a washed-up boxer converge in this sprawling, comedic crime caper. Their adventures unfurl in three stories that ingeniously trip back and forth in time.",19.0292,"Miramax,A Band Apart,Jersey Films","US,US,US",154,213928762,"English,Español,Français","[['Quentin Tarantino', '6.3344', 'Male']]",1,"['Jersey Films', 'A Band Apart', 'Miramax']",1
57,Priest (1994),1994,110889,40156,7.1,FALSE,0,GB,134,6.3,en,The deeply held religious convictions of an idealistic young priest are challenged when he must face extraordinary events within his own congregation.,1.847,"PolyGram Filmed Entertainment,BBC Film,Miramax","US,GB,US",99,4176932,English,"[['Antonia Bird', '0.1685', 'Female']]",0,"['BBC Film', 'PolyGram Filmed Entertainment', 'Miramax']",1
58,Quiz Show (1994),1994,110932,11450,7.5,FALSE,31000000,US,924,7.256,en,"Herbert Stempel's transformation into an unexpected television personality unfolds as he secures victory on the cherished American game show, 'Twenty-One.' However, when the show introduces the highly skilled contestant Charles Van Doren to replace Stempel, it compels Stempel to let out his frustrations and call out the show as rigged. Lawyer Richard Goodwin steps in and attempts to uncover the orchestrated deception behind the scenes.",1.5006,"Baltimore Pictures,Wildwood Enterprises,Hollywood Pictures","US,US,US",133,24822619,English,"[['Robert Redford', '2.3034', 'Male']]",1,"['Wildwood Enterprises', 'Baltimore Pictures', 'Hollywood Pictures']",1
62,Stargate (1994),1994,111282,2164,7,FALSE,55000000,US,3521,7,en,"An interstellar teleportation device, found in Egypt, leads to a planet with humans resembling ancient Egyptians who worship the god Ra.",9.0724,"Centropolis Entertainment,Carolco Pictures,Le Studio Canal+,Metro-Goldwyn-Mayer,Live Entertainment","US,US,FR,US,US",121,196567262,"English,Norsk,svenska","[['Roland Emmerich', '1.2834', 'Male']]",0,"['Centropolis Entertainment', 'Metro-Goldwyn-Mayer', 'Le Studio Canal+', 'Carolco Pictures', 'Live Entertainment']",1
63,"Santa Clause, The (1994)",1994,111070,11395,6.6,FALSE,22000000,US,2126,6.491,en,"On Christmas Eve, divorced dad Scott Calvin and his son discover Santa Claus has fallen off their roof. When Scott takes the reins of the magical sleigh, he finds he is now the new Santa, and must convince a world of disbelievers, including himself.",3.4582,"Walt Disney Pictures,Hollywood Pictures,Outlaw Productions","US,US,US",97,189833357,English,"[['John Pasquin', '0.477', 'Male']]",0,"['Outlaw Productions', 'Hollywood Pictures', 'Walt Disney Pictures']",1
64,"Shawshank Redemption, The (1994)",1994,111161,278,9.3,FALSE,25000000,US,28334,8.71,en,"Imprisoned in the 1940s for the double murder of his wife and her lover, upstanding banker Andy Dufresne begins a new life at the Shawshank prison, where he puts his accounting skills to work for an amoral warden. During his long stretch in prison, Dufresne comes to be admired by the other inmates -- including an older prisoner named Red -- for his integrity and unquenchable sense of hope.",35.0837,Castle Rock Entertainment,US,142,28341469,English,"[['Frank Darabont', '2.9355', 'Male']]",1,['Castle Rock Entertainment'],1
65,What's Eating Gilbert Grape (1993),1993,108550,1587,7.7,FALSE,11000000,US,4046,7.663,en,"Gilbert Grape is a small-town young man with a lot of responsibility. Chief among his concerns are his mother, who is so overweight that she can't leave the house, and his mentally impaired younger brother, Arnie, who has a knack for finding trouble. Settled into a job at a grocery store and an ongoing affair with local woman Betty Carver, Gilbert finally has his life shaken up by the free-spirited Becky.",5.445,Paramount Pictures,US,118,10000000,English,"[['Lasse Hallström', '1.21', 'Male']]",1,['Paramount Pictures'],1
66,While You Were Sleeping (1995),1995,114924,2064,6.8,FALSE,17000000,US,1867,7.015,en,"A transit worker pulls commuter Peter off railway tracks after he's mugged, but—while he's in a coma—his family mistakenly thinks she's Peter's fiancée, and she doesn't correct them. Things get more complicated when she falls for his brother, who's not quite sure that she's who she claims to be.",3.1069,"Caravan Pictures,Hollywood Pictures","US,US",103,182100000,English,"[['Jon Turteltaub', '0.9256', 'Male']]",0,"['Hollywood Pictures', 'Caravan Pictures']",1
