gameid,title,platform,developers,publishers,genres,supported_languages,release_date
745371,GGmuks Casino: Slots,PS4,['GGmuks'],['GGmuks'],['Casino'],,10/11/2024
745370,GGmuks Casino: Slots,PS4,['GGmuks'],['GGmuks'],['Casino'],,10/11/2024
745217,GGmuks Casino: Slots,PS5,['GGmuks'],['GGmuks'],['Casino'],,10/11/2024
745216,GGmuks Casino: Slots,PS5,['GGmuks'],['GGmuks'],['Casino'],,10/11/2024
744994,Land Of Mushrooms,PS4,['Source Byte'],['Source Byte'],['Puzzle'],,10/11/2024
744643,Tetris Forever,PS4,['Digital Eclipse'],['Digital Eclipse'],['Puzzle'],"['Japanese', 'French', 'Spanish', 'German', 'Italian', 'Korean', 'Chinese (traditional)']",12/11/2024
751968,Path of The Builder,PS5,['KODOBUR'],['KODOBUR'],['Simulation'],,28/11/2024
751846,Infinite Switch,PS5,['ThiGames'],['ThiGames'],['Action'],,28/11/2024
751830,Infinite Switch,PS4,['ThiGames'],['ThiGames'],['Action'],,28/11/2024
751831,Infinite Switch,PS4,['ThiGames'],['ThiGames'],['Action'],,28/11/2024
750659,Viking Colony Builder Valhalla,PS4,['VRCForge'],['VRCForge'],,,19/11/2024
750969,Rookie Boxing,PS4,['Pix Arts'],['Pix Arts'],"['Sports', 'Boxing']",,25/10/2024
750850,Bug-o-Buster,PS4,['Xeneder Team'],['Xeneder Team'],"[""Shoot 'em up""]",,27/11/2024
750511,TCG Card Shop Empire,PS4,['Md Adnan Hossain'],['Md Adnan Hossain'],,,25/11/2024
750177,Smoots Summer Games II,PS5,['Kaneda Games'],['JanduSoft'],['Sports'],,12/12/2024
750999,Buck Blastem,PS5,['Cascadia Games'],['Cascadia Games'],['Platformer'],,22/11/2024
750064,Detail Hunter,PS5,['Gametry'],['Gametry'],['Puzzle'],,22/11/2024
750176,Smoots Summer Games II,PS5,['Kaneda Games'],['JanduSoft'],['Sports'],,12/12/2024
750062,Jigsaw Puzzle Utopia,PS5,['Gametry'],['Gametry'],['Puzzle'],,23/11/2024
750028,Smoots Summer Games II,PS4,['Kaneda Games'],['JanduSoft'],['Sports'],,12/12/2024
747994,Spellagis,PS5,"['NipoBox', 'eastasiasoft']",['eastasiasoft'],['Roguelite'],,20/11/2024
747893,Super Solitaire,PS5,['The Binary Family'],['Ocean Media'],['Card & Board'],,18/11/2024
747777,Racing Champions,PS5,['Revulo Games'],['Revulo Games'],"['Automobile', 'Arcade Racing']",,8/11/2024
747998,Puzzle Vacations: Italy,PS5,['Tiny Little Lion'],['Ocean Media'],['Puzzle'],,19/11/2024
744407,Suika Animal Kingdom,PS4,['Erik Games'],['Erik Games'],,,9/11/2024
744404,The Fine Art of Murder,PS4,['Infinite Zone'],['Infinite Zone'],['Visual Novel'],,6/11/2024
751953,Robobit8,PS4,['909games'],['Weakfish Studio'],['Platformer'],,27/11/2024
751950,Robobit8,PS5,['909games'],['Weakfish Studio'],['Platformer'],,27/11/2024
750690,Project 13,PS4,['DRYBREAD'],['Dolores Entertainment'],['Adventure'],,31/05/2024
750125,Project 13,PS5,['DRYBREAD'],['Dolores Entertainment'],['Adventure'],,31/05/2024
747989,Irem Collection Volume 2,PS4,"['Tozai Games', 'Irem']","['ININ Games', 'Strictly Limited Games', 'Tozai Games']",['Collection'],['Japanese'],14/11/2024
747971,Cliff Rush 3D,PS5,['Nextgo24'],['Nextgo24'],['Action'],,19/11/2024
747960,Coffee Simulator Tycoon,PS4,['IndieGames3000'],['IndieGames3000'],['Simulation'],,30/10/2024
747908,Uncle Chop's Rocket Shop,PS5,['Beard Envy'],['Kasedo Games'],"['Roguelite', 'Puzzle']","['Japanese', 'French', 'Spanish', 'German', 'Italian', 'Russian', 'Chinese (simplified)']",5/12/2024
747848,Project 13,PS4,['DRYBREAD'],['Dolores Entertainment'],['Adventure'],,31/05/2024
747783,Access Denied: Escape,PS5,['Stately Snail'],['Ratalaika Games'],['Puzzle'],,15/11/2024
747782,Access Denied: Escape,PS4,['Stately Snail'],['Ratalaika Games'],['Puzzle'],,15/11/2024
744412,Horror Clash,PS5,['Smobile'],['Smobile'],['Action'],,4/10/2024
744402,Draw li,PS4,['Zakym'],['Zakym'],"['Puzzle', 'Platformer']",,9/11/2024
753188,Motocross Ramp Madness,PS5,['NOSTRA GAMES'],['NOSTRA GAMES'],['Action'],,29/11/2024
753228,Glitch Blaster's Waifu,PS4,['Osando Studio'],['Gamuzumi'],"[""Shoot 'em up""]",,29/11/2024
753043,Infinite Switch,PS4,['ThiGames'],['ThiGames'],['Action'],,28/11/2024
753185,Motocross Ramp Madness,PS5,['NOSTRA GAMES'],['NOSTRA GAMES'],['Action'],,29/11/2024
753037,Basureroes: Invasion,PS4,['Javs Game Studios'],['JanduSoft'],,,30/01/2025
752967,Infinite Switch,PS4,['ThiGames'],['ThiGames'],['Action'],,28/11/2024
747639,Galaxy Kingdoms,PS5,"['Pretoriano_dev', 'Coliseum Studio']",['AFIL Games'],['Action-Adventure'],,20/11/2024
747302,Star Truck Simulator,PS4,['Testagamercreations'],['Testagamercreations'],,,15/11/2024
747088,Monkey Kong In New-York,PS4,['Pix Arts'],['Pix Arts'],['Platformer'],,15/11/2024
747045,Suddenly an Ogre,PS4,['Infinite Zone'],['Infinite Zone'],,,14/11/2024
746942,Bubbelsche Deluxe,PS4,['EntwicklerX'],['EntwicklerX'],['Action'],,15/11/2024
746927,The Glory of America,PS4,['RandomSpin Games'],['RandomSpin Games'],,,15/11/2024
747303,Xuan Yuan Sword: The Gate of Firmament,PS5,"['SOFTSTAR Entertainment', 'eastasiasoft']",['eastasiasoft'],"['Role Playing', 'Turn Based']","['Japanese', 'Chinese (traditional)', 'Chinese (simplified)']",13/12/2024
746571,Morels The Hunt 2,PS5,['Abrams Studios'],['Abrams Studios'],['Simulation'],,14/11/2024
746654,Oniria,PS5,['Frost Earth Studio'],['My World'],,,22/11/2024
744194,Cubic Run,PS5,['Webnetic'],['Webnetic'],['Platformer'],,9/11/2024
753515,Uragun,PS4,['Kool2Play'],['Drageus Games'],"[""Shoot 'em up""]",,22/11/2024
747745,Cazzarion: Treasure Diver,PS4,['Zarpazo'],['Zarpazo'],['Platformer'],,16/08/2024
747484,Anomaly Agent,PS4,['Phew Phew Games'],['NAISU'],['Platformer'],['Turkish'],15/11/2024
747227,Bamboo Retro Run,PS5,['Zakym'],['Zakym'],['Platformer'],,16/11/2024
747139,Cube Railway,PS5,['Colossus Game Studio'],['Colossus Game Studio'],['Puzzle'],,15/11/2024
747120,Jankenup!,PS4,['Humita'],['Dolores Entertainment'],['Action'],,15/11/2024
747001,Check and Slash,PS4,['Gate of Madness'],['AFIL Games'],"['Roguelite', 'Hack & Slash', 'Card & Board']",['Portuguese (Brazil)'],15/11/2024
746998,Check and Slash,PS4,['Gate of Madness'],['AFIL Games'],"['Roguelite', 'Hack & Slash', 'Card & Board']",['Portuguese (Brazil)'],15/11/2024
746946,Cuisineer,PS5,['BattleBrew Productions'],['Marvelous Entertainment'],"['Simulation', ""Shoot 'em up"", 'Management', 'Dungeon Crawler']","['Japanese', 'French', 'Spanish', 'German', 'Korean', 'Chinese (traditional)', 'Chinese (simplified)', 'Portuguese (Brazil)']",28/01/2025
746804,Learn to Play Vol. 8 - Penalty Shootout,PS4,['eastasiasoft'],['eastasiasoft'],['Action'],,15/11/2024
746745,DecayLore,PS5,['Playstige Interactive'],['Playstige Interactive'],['Adventure'],,15/11/2024
746706,Learn to Play Vol. 8 - Penalty Shootout,PS4,['eastasiasoft'],['eastasiasoft'],['Action'],,15/11/2024
746684,Jumping Boy,PS5,['Webnetic'],['Webnetic'],['Action'],,15/11/2024
746590,GGmuks Casino: Slots,PS5,['GGmuks'],['GGmuks'],['Casino'],,10/11/2024
746411,Heaven Jump,PS4,['Aristo Studio'],['Aristo Studio'],['Action'],,22/03/2024
746408,Codex Lost,PS5,['Freemana'],['JanduSoft'],"['Open World', 'Action-RPG', 'Role Playing']",,13/11/2024
746358,Check and Slash,PS4,['Gate of Madness'],['AFIL Games'],"['Roguelite', 'Hack & Slash', 'Card & Board']",['Portuguese (Brazil)'],15/11/2024
752850,Beyond Hanwell,PS5,['Steel Arts Software'],['Steel Arts Software'],['Survival Horror'],,28/11/2024
752778,On The Stairs,PS5,['Aristo Studio'],['Aristo Studio'],['Action'],,28/11/2024
752833,Shooter of the Arcana,PS5,['NOSTRA GAMES'],['NOSTRA GAMES'],"[""Shoot 'em up""]",,28/11/2024
752840,On The Stairs,PS4,['Aristo Studio'],['Aristo Studio'],['Action'],,28/11/2024
752147,On The Stairs,PS4,['Aristo Studio'],['Aristo Studio'],['Action'],,28/11/2024
752143,Motocross Ramp Madness,PS4,['NOSTRA GAMES'],['NOSTRA GAMES'],['Action'],,29/11/2024
748935,Christmas Race,PS5,['Smobile'],['Smobile'],['Action'],,21/11/2024
748974,Detail Hunter,PS4,['Gametry'],['Gametry'],['Puzzle'],,22/11/2024
748757,Galaxy Kingdoms,PS5,"['Pretoriano_dev', 'Coliseum Studio']",['AFIL Games'],['Action-Adventure'],,20/11/2024
748705,Bug-o-Buster,PS4,['Xeneder Team'],['Xeneder Team'],"[""Shoot 'em up""]",,27/11/2024
748703,Bug-o-Buster,PS5,['Xeneder Team'],['Xeneder Team'],"[""Shoot 'em up""]",,27/11/2024
748577,World War II City Rebirth Tycoon,PS4,['IndieGames3000'],['IndieGames3000'],,,4/11/2024
748574,Galaxy Kingdoms,PS5,"['Pretoriano_dev', 'Coliseum Studio']",['AFIL Games'],['Action-Adventure'],,20/11/2024
748528,Ramp Bike Racing,PS5,['Gametry'],['Gametry'],['Platformer'],,16/11/2024
748573,Galaxy Kingdoms,PS4,"['Pretoriano_dev', 'Coliseum Studio']",['AFIL Games'],['Action-Adventure'],,20/11/2024
748290,Bust A Block 2,PS4,['ThiGames'],['ThiGames'],['Puzzle'],,21/11/2024
748471,Highway Police Simulator,PS5,['Z-Software'],['AeroSoft'],['Simulation'],,5/12/2024
748289,Bust A Block 2,PS5,['ThiGames'],['ThiGames'],['Puzzle'],,21/11/2024
748050,Bust A Block 2,PS4,['ThiGames'],['ThiGames'],['Puzzle'],,21/11/2024
748049,Bust A Block 2,PS5,['ThiGames'],['ThiGames'],['Puzzle'],,21/11/2024
748156,Lorelei and the Laser Eyes,PS5,['Simogo'],['Annapurna Interactive'],"['Puzzle', 'Adventure', 'Point & Click']","['Japanese', 'French', 'Spanish', 'German', 'Italian', 'Korean', 'Chinese (traditional)', 'Chinese (simplified)']",3/12/2024
744195,Cubic Run,PS4,['Webnetic'],['Webnetic'],['Platformer'],,9/11/2024
744151,Gems Rush,PS5,['NOSTRA GAMES'],['NOSTRA GAMES'],['Action'],,8/11/2024
743841,Gems Rush,PS5,['NOSTRA GAMES'],['NOSTRA GAMES'],['Action'],,8/11/2024
743706,Puzzle Frenzy,PS5,['Playstige Interactive'],['Playstige Interactive'],['Puzzle'],,8/11/2024
743631,Waifu Impact 2,PS5,['Mitsuki Game Studio'],['JanduSoft'],,,6/11/2024
749033,Uragun,PS5,['Kool2Play'],['Drageus Games'],"[""Shoot 'em up""]",,22/11/2024
748499,Zen Drift,PS4,['NOSTRA GAMES'],['NOSTRA GAMES'],"['Automobile', 'Arcade Racing']",,21/11/2024
748498,Zen Drift,PS5,['NOSTRA GAMES'],['NOSTRA GAMES'],"['Automobile', 'Arcade Racing']",,21/11/2024
748011,Emme Saves the Galaxy,PS5,"['Megalithic Mainframe', 'Create Something Interesting']",['Megalithic Mainframe'],['Puzzle'],,31/10/2024
743630,Jankenup!,PS5,['Humita'],['Dolores Entertainment'],['Action'],,15/11/2024
743434,Last Escape: Dead Complex,PS5,['Mad Jackal Games'],['Mad Jackal Games'],"[""Shoot 'em up""]",,6/11/2024
743321,Math Genius: Multiplication,PS5,['GGmuks'],['GGmuks'],['Educational & Trivia'],,6/11/2024
743315,Duck Run,PS4,['DuDeeki Studio'],['AFIL Games'],['Platformer'],,6/11/2024
743310,Duck Run,PS5,['DuDeeki Studio'],['AFIL Games'],['Platformer'],,6/11/2024
743278,Stunt Paradise,PS5,['Brinemedia'],['Brinemedia'],['Platformer'],,14/11/2024
743266,Bioframe Outpost,PS5,['Omni Systems'],['Omni Systems'],['Run & Gun'],,7/11/2024
743248,Dream Town Island,PS4,['Kairosoft'],['Kairosoft'],"['Simulation', 'Management']","['Japanese', 'Korean', 'Chinese (traditional)', 'Chinese (simplified)', 'Thai']",14/11/2024
743196,O.W.L Projekt,PS5,"['Sagitta Studios', 'eastasiasoft']",['eastasiasoft'],['Puzzle'],,6/11/2024
743194,O.W.L Projekt,PS4,"['Sagitta Studios', 'eastasiasoft']",['eastasiasoft'],['Puzzle'],,6/11/2024
742520,Rev Grav,PS4,"['Xitilon', 'ABA Games']",['Xitilon'],['Platformer'],,4/11/2024
742519,Rev Grav,PS4,"['Xitilon', 'ABA Games']",['Xitilon'],['Platformer'],,4/11/2024
742404,Rev Grav,PS4,"['Xitilon', 'ABA Games']",['Xitilon'],['Platformer'],,4/11/2024
739644,Roll Ball,PS4,['NOSTRA GAMES'],['NOSTRA GAMES'],['Platformer'],,1/11/2024
739502,The Exit Project: Backstreets,PS4,['NOSTRA GAMES'],['NOSTRA GAMES'],,,31/10/2024
739500,The Exit Project: Backstreets,PS4,['NOSTRA GAMES'],['NOSTRA GAMES'],,,31/10/2024
739495,Roll Ball,PS4,['NOSTRA GAMES'],['NOSTRA GAMES'],['Platformer'],,1/11/2024
742283,Galaxy Kingdoms,PS4,"['Pretoriano_dev', 'Coliseum Studio']",['AFIL Games'],['Action-Adventure'],,20/11/2024
739407,Roll Ball,PS5,['NOSTRA GAMES'],['NOSTRA GAMES'],['Platformer'],,1/11/2024
739482,Roll Ball,PS5,['NOSTRA GAMES'],['NOSTRA GAMES'],['Platformer'],,1/11/2024
739075,The Exit Project: Backstreets,PS5,['NOSTRA GAMES'],['NOSTRA GAMES'],,,31/10/2024
743203,Duck Run,PS4,['DuDeeki Studio'],['AFIL Games'],['Platformer'],,6/11/2024
743191,Cyberpunk Hacker,PS4,['MagicProStudio'],['IndieGames3000'],['First Person Shooter'],,16/09/2024
742925,Doodle Hunt,PS5,['Revolt Games'],['Revolt Games'],['Puzzle'],,5/11/2024
742918,Garten of Banban 6,PS4,['Euphoric Brothers'],['Feardemic'],['Adventure'],,31/10/2024
742853,Techtonica,PS5,['Fire Hose Games'],['Fire Hose Games'],"['Simulation', 'Management']","['Japanese', 'French', 'German', 'Dutch', 'Russian', 'Korean', 'Chinese (traditional)', 'Chinese (simplified)', 'Polish', 'Portuguese (Brazil)']",7/11/2024
742748,For The Warp,PS4,['Massive Galaxy Studios'],['ImaginationOverflow'],"['Roguelite', 'Collectable Card Game']",,31/10/2024
742701,ROUNDS,PS4,"['Friendly Foe', 'Landfall Games']",['Landfall Games'],['Party'],"['Japanese', 'French', 'Spanish', 'German', 'Italian', 'Russian', 'Chinese (simplified)', 'Portuguese (Brazil)']",26/11/2024
742700,ROUNDS,PS5,"['Friendly Foe', 'Landfall Games']",['Landfall Games'],['Party'],"['Japanese', 'French', 'Spanish', 'German', 'Italian', 'Russian', 'Chinese (simplified)', 'Portuguese (Brazil)']",26/11/2024
742680,Duck Run,PS5,['DuDeeki Studio'],['AFIL Games'],['Platformer'],,6/11/2024
742622,Duck Run,PS5,['DuDeeki Studio'],['AFIL Games'],['Platformer'],,6/11/2024
742621,Duck Run,PS4,['DuDeeki Studio'],['AFIL Games'],['Platformer'],,6/11/2024
742517,Criss Cross Bomb,PS4,"['Xitilon', 'ABA Games']",['Xitilon'],"[""Shoot 'em up""]",,4/11/2024
742405,Criss Cross Bomb,PS4,"['Xitilon', 'ABA Games']",['Xitilon'],"[""Shoot 'em up""]",,4/11/2024
739738,JIGSAW CHRONICLES: Haunting Tales,PS5,['Cudit Savunma Inovasyon Teknoloji Arastirma ve Gelistirme'],['Cudit Savunma Inovasyon Teknoloji Arastirma ve Gelistirme'],['Puzzle'],,3/11/2024
739734,Arcade Room Simulator,PS5,['Zakym'],['Zakym'],"['Puzzle', 'Action']",,2/11/2024
739548,Arcade Room Simulator,PS5,['Zakym'],['Zakym'],"['Puzzle', 'Action']",,2/11/2024
739514,Garten Of Banban 6,PS5,['Euphoric Brothers'],['Feardemic'],['Adventure'],,31/10/2024
739492,Math Genius: Multiplication,PS4,['GGmuks'],['GGmuks'],['Educational & Trivia'],,6/11/2024
739387,Journey to Kreisia,PS5,['EXE-CREATE'],['KEMCO'],"['Role Playing', 'Turn Based']",['Japanese'],1/11/2024
739376,For The Warp,PS5,['Massive Galaxy Studios'],['ImaginationOverflow'],"['Roguelite', 'Collectable Card Game']",,31/10/2024
738864,Roll Ball,PS5,['NOSTRA GAMES'],['NOSTRA GAMES'],['Platformer'],,1/11/2024
738616,Raiden NOVA,PS5,['MOSS'],"['UFO Interactive', 'MOSS']","[""Shoot 'em up""]",['Japanese'],31/10/2024
738776,The Coma 2B: Catacomb,PS5,['Dvora Studio'],['Headup Games'],['Survival Horror'],,25/10/2024
738489,Monarchy,PS5,['Brain Seal'],['Brain Seal'],['Management'],,6/11/2024
738269,Super Rolling Heroes Deluxe,PS5,['Solid Neon Games'],['JanduSoft'],['Platformer'],,20/11/2024
738271,Super Rolling Heroes Deluxe,PS5,['Solid Neon Games'],['JanduSoft'],['Platformer'],,20/11/2024
738270,Super Rolling Heroes Deluxe,PS5,['Solid Neon Games'],['JanduSoft'],['Platformer'],,20/11/2024
738264,Super Rolling Heroes Deluxe,PS4,['Solid Neon Games'],['JanduSoft'],['Platformer'],,20/11/2024
738267,Super Rolling Heroes Deluxe,PS4,['Solid Neon Games'],['JanduSoft'],['Platformer'],,20/11/2024
735506,Balatro,PS5,['LocalThunk'],['PlayStack'],"['Roguelite', 'Card & Board']",,20/02/2024
728665,Scary bucketman,PS4,['Enningture Game Temple'],['Enningture Game Temple'],['Platformer'],,15/10/2024
738901,CAFE 0 ~The Sleeping Beast~ REMASTERED,PS5,['ROSEVERTE'],['ROSEVERTE'],['Visual Novel'],"['Japanese', 'German', 'Korean']",1/11/2024
738727,It Could Happen to You,PS4,['Pixel Noire Games'],['Ratalaika Games'],['Visual Novel'],,18/10/2024
738649,Gorilla Tag,PS5,['Another Axiom'],['Another Axiom'],"['Free to Play', 'Massively Multiplayer']",,8/11/2024
738522,Skater's Solstice,PS5,"['Double Mizzlee', 'eastasiasoft']",['eastasiasoft'],['Puzzle'],,30/10/2024
738302,Skater's Solstice,PS4,"['Double Mizzlee', 'eastasiasoft']",['eastasiasoft'],['Puzzle'],,30/10/2024
735582,Brick Buster,PS4,['Aristo Studio'],['Aristo Studio'],['Action'],,23/03/2024
735552,Besiege,PS5,['Spiderling Studios'],"['Ultimate Games', 'PLAYISM']",['Action'],"['Japanese', 'French', 'Spanish', 'Portuguese', 'Russian', 'Korean', 'Chinese (traditional)', 'Chinese (simplified)']",12/12/2024
735545,Bpop Attack,PS4,['Smobile'],['Smobile'],['Puzzle'],,13/10/2024
735544,Bpop Attack,PS4,['Smobile'],['Smobile'],['Puzzle'],,13/10/2024
735510,Smoothcade,PS5,['2Awesome Studio'],['2Awesome Studio'],['Party'],"['French', 'Spanish', 'German', 'Italian']",14/11/2024
735509,Smoothcade,PS4,['2Awesome Studio'],['2Awesome Studio'],['Party'],"['French', 'Spanish', 'German', 'Italian']",14/11/2024
735356,Isekai Harem Saver,PS4,['CyberStep'],['CyberStep'],['Visual Novel'],['Japanese'],15/10/2024
735317,Hidden Cats in Spooky Town,PS4,['Nukearts Studio'],['Silesia Games'],['Puzzle'],,24/10/2024
735314,Circle Triangle Cross,PS4,"['Xitilon', 'ABA Games']",['Xitilon'],['Action'],,22/10/2024
734987,Hidden Cats in Spooky Town,PS5,['Nukearts Studio'],['Silesia Games'],['Puzzle'],,24/10/2024
734881,Shapik The Quest,PS4,['Rapid Snail'],['Xitilon'],"['Adventure', 'Point & Click']",,22/09/2024
734851,Divine Dynamo Flamefrit,PS5,['Inti CREATES'],['Inti CREATES'],['Action-Adventure'],"['Japanese', 'Korean', 'Chinese (traditional)', 'Chinese (simplified)']",21/11/2024
734226,Color Swiper,PS4,['ThiGames'],['ThiGames'],['Puzzle'],,24/10/2024
734225,Color Swiper,PS5,['ThiGames'],['ThiGames'],['Puzzle'],,24/10/2024
737443,Run Tekila Run!,PS5,['Tonguc Bodur'],['Catness Game Studios'],['Action-Adventure'],,7/11/2024
737221,Stickman: Far East Battle,PS5,['Gametry'],['Gametry'],,,25/10/2024
736884,Snaky Snakes,PS5,['Zakym'],['Zakym'],['Action'],,26/10/2024
736817,Snaky Snakes,PS4,['Zakym'],['Zakym'],['Action'],,26/10/2024
736798,Snaky Snakes,PS4,['Zakym'],['Zakym'],['Action'],,26/10/2024
736588,Snaky Snakes,PS4,['Zakym'],['Zakym'],['Action'],,26/10/2024
736587,Snaky Snakes,PS5,['Zakym'],['Zakym'],['Action'],,26/10/2024
736564,Snaky Snakes,PS4,['Zakym'],['Zakym'],['Action'],,26/10/2024
734497,ROMANCE OF THE THREE KINGDOMS 8 REMAKE,PS4,['Kou Shibusawa'],['KOEI TECMO'],"['Strategy', 'Management', 'Turn Based']","['Japanese', 'Korean', 'Chinese (traditional)', 'Chinese (simplified)']",24/10/2024
734498,ROMANCE OF THE THREE KINGDOMS 8 REMAKE,PS5,['Kou Shibusawa'],['KOEI TECMO'],"['Strategy', 'Management', 'Turn Based']","['Japanese', 'Korean', 'Chinese (traditional)', 'Chinese (simplified)']",24/10/2024
734260,Mechanic Supermarket Simulator,PS4,['Midnight Games'],['Midnight Games'],['Simulation'],,19/10/2024
738032,Cozy Claw Machine,PS5,['Two Llamas'],['Two Llamas'],['Action'],,29/10/2024
737906,Your Average Old School Shmup,PS5,['y-zo studio'],['y-zo studio'],"[""Shoot 'em up""]",,28/10/2024
737655,Cute Bite,PS5,['Hanako Games'],['Ratalaika Games'],"['Management', 'Visual Novel']",,25/10/2024
737653,Cute Bite,PS5,['Hanako Games'],['Ratalaika Games'],"['Management', 'Visual Novel']",,25/10/2024
737388,I'm on Observation Duty 6,PS5,"['Notovia', 'Dreamloop Games']",['Dreamloop Games'],['Puzzle'],"['Japanese', 'French', 'German', 'Italian', 'Dutch', 'Russian', 'Korean', 'Swedish', 'Danish', 'Norway', 'Polish', 'Portuguese (Brazil)', 'Turkish', 'Arabic', 'Thai']",26/10/2024
736912,Your Average Old School Shmup,PS4,['y-zo studio'],['y-zo studio'],"[""Shoot 'em up""]",,28/10/2024
736866,Your Average Old School Shmup,PS4,['y-zo studio'],['y-zo studio'],"[""Shoot 'em up""]",,28/10/2024
736822,Your Average Old School Shmup,PS4,['y-zo studio'],['y-zo studio'],"[""Shoot 'em up""]",,28/10/2024
736702,Your Average Old School Shmup,PS4,['y-zo studio'],['y-zo studio'],"[""Shoot 'em up""]",,28/10/2024
736451,DEFEAT ME,PS4,"['Xitilon', 'ABA Games']",['Xitilon'],"[""Shoot 'em up""]",,26/10/2024
734767,Awaken - Astral Blade,PS5,['Dark Pigeon Games'],['ESDigital Games'],"['Metroidvania', 'Platformer']",,22/10/2024
734495,Bpop Attack,PS4,['Smobile'],['Smobile'],['Puzzle'],,13/10/2024
734335,Speedollama,PS5,['Chaosmonger Studio'],['Chaosmonger Studio'],['Platformer'],"['Japanese', 'French', 'Spanish', 'German', 'Italian', 'Russian', 'Korean', 'Chinese (traditional)', 'Chinese (simplified)']",21/10/2024
734294,Color Swiper,PS4,['ThiGames'],['ThiGames'],['Puzzle'],,24/10/2024
734293,Color Swiper,PS5,['ThiGames'],['ThiGames'],['Puzzle'],,24/10/2024
734266,Hexa River,PS5,['Omegga Interactive'],['Omegga Interactive'],['Puzzle'],,18/10/2024
734265,It Could Happen to You,PS5,['Pixel Noire Games'],['Ratalaika Games'],['Visual Novel'],,18/10/2024
736242,Path Builder,PS5,['NOSTRA GAMES'],['NOSTRA GAMES'],['Puzzle'],,25/10/2024
735977,Path Builder,PS4,['NOSTRA GAMES'],['NOSTRA GAMES'],['Puzzle'],,25/10/2024
733649,Pet Kawaii Shop,PS4,['SimulaMaker'],['SimulaMaker'],['Simulation'],,7/09/2024
